Tracking-Log;t_min:;263;t_max:;333;Acc_max:;1.5;;
 Date/Time;Location (GPRMC);Location (GPGGA);Acceleration X; Acceleration Y; Acceleration Z;Temp;Open;Note
0000-00-00-00:00:04;;;-0.135742;-0.049805;0.986328;22;0;
0000-00-00-00:00:05;;;-0.132813;-0.050781;0.979492;22;0;
0000-00-00-00:00:06;;;-0.134766;-0.045898;0.987305;22;0;
0000-00-00-00:00:07;;;0.206055;-0.326172;0.959961;22;0;
0000-00-00-00:00:08;;;0.967773;-0.099609;0.066406;22;0;
0000-00-00-00:00:09;;;0.977539;0.164063;-0.104492;22;0;
0000-00-00-00:00:10;;;0.889648;-0.009766;-0.148438;23;0;
0000-00-00-00:00:11;;;0.968750;0.083984;0.007813;19;0;
0000-00-00-00:00:12;;;0.964844;0.083984;0.016602;22;0;
0000-00-00-00:00:13;;;0.902344;0.083008;-0.383789;20;0;
0000-00-00-00:00:14;;;0.967773;0.081055;0.023438;21;0;
0000-00-00-00:00:15;;;0.889648;0.231445;0.295898;21;0;
0000-00-00-00:00:16;;;0.968750;-0.058594;0.167969;21;0;
0000-00-00-00:00:17;;;0.964844;0.038086;0.125977;20;0;
0000-00-00-00:00:18;;;0.902344;-0.044922;0.882813;20;0;
0000-00-00-00:00:19;;;0.967773;-0.077148;-0.501953;21;0;
0000-00-00-00:00:20;;;0.968750;0.027344;-0.008789;20;0;
0000-00-00-00:00:21;;;0.964844;0.179688;0.088867;21;0;
0000-00-00-00:00:22;;;0.902344;0.042969;0.038086;23;0;
0000-00-00-00:00:23;;;0.967773;0.047852;0.037109;20;0;
0000-00-00-00:00:24;;;0.968750;0.043945;0.037109;21;0;
0000-00-00-00:00:25;;;0.964844;0.041992;0.037109;20;0;
0000-00-00-00:00:26;;;0.992344;0.041992;0.036133;21;0;
0000-00-00-00:00:27;;;0.967773;0.041016;0.035156;20;0;
0000-00-00-00:00:28;;;0.968750;0.041016;0.035156;20;0;
0000-00-00-00:00:29;;;0.964844;0.044922;0.039063;21;0;
0000-00-00-00:00:30;;;0.902344;0.041992;0.037109;21;0;
0000-00-00-00:00:31;;;0.967773;0.042969;0.036133;20;0;
0000-00-00-00:00:32;;;0.968750;0.044922;0.039063;21;0;
0000-00-00-00:00:33;;;0.964844;0.042969;0.038086;21;0;
0000-00-00-00:00:34;;;0.902344;0.045898;0.038086;21;1;
0000-00-00-00:00:35;;;0.967773;0.045898;0.039063;20;1;
0000-00-00-00:00:36;;;0.968750;0.044922;0.038086;21;1;
